candidate_id,rank,score,reasoning
CAND_0046459,20,0.6572533048,"4.5-year AI Research Engineer from upGrad. Covers 2/7 core pillars; pgvector expertise aligns with the JD's need for hands-on ML system builders. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location)."
CAND_0010603,21,0.6571729458,"ML Engineer with 5.3 YOE, bringing 2 core competencies from BYJU'S. Experience in pgvector relevant to the JD's retrieval infrastructure requirements. 94% recruiter response rate (highly responsive), strong GitHub activity (score: 79/100). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0035879,22,0.6559354693,"AI Research Engineer (4.5 YOE) currently at Krutrim. 1 core skills matched; shows practical experience in areas the JD prioritizes: embeddings, ranking, and production deployment. Based in Pune/Noida (JD's target location), 82% recruiter response rate (highly responsive). however 120-day notice period is a significant hiring delay — JD prefers sub-30 days."
CAND_0045887,23,0.6542212096,"Qualified Data Scientist with 3.0 years and 3/7 core skill matches from PharmEasy. Relevant experience in Fine-tuning LLMs maps to the JD's search and ranking focus. 30-day notice period (within JD's preferred window), 86% recruiter response rate (highly responsive). however based in Chennai, Tamil Nadu, not in JD's preferred Pune/Noida hubs; 3.0 YOE is below the JD's 5-9 year target range."
CAND_0008295,24,0.6535987747,"AI Research Engineer with 6.5 YOE, bringing 0 core competencies from Razorpay. Experience in Systems Architecture relevant to the JD's retrieval infrastructure requirements. Based in Pune/Noida (JD's target location), 89% recruiter response rate (highly responsive). however 45-day notice period (above the JD's preferred 30-day window but manageable)."
CAND_0073314,25,0.6454254658,"5.2-year Senior Software Engineer (ML) at Aganitha with expertise in Systems Architecture. Matches several JD requirements around production ML systems and scalable AI infrastructure. Based in Pune/Noida (JD's target location), 84% recruiter response rate (highly responsive). however 60-day notice period (above the JD's preferred 30-day window but manageable)."
CAND_0044213,26,0.6431289771,"AI Specialist (3.7 YOE) currently at Haptik. 2 core skills matched; shows practical experience in areas the JD prioritizes: embeddings, ranking, and production deployment. 89% recruiter response rate (highly responsive), currently at Haptik (product company, aligns with JD's preference). however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0017178,27,0.637581402,"Qualified ML Engineer with 4.2 years and 2/7 core skill matches from Swiggy. Relevant experience in pgvector maps to the JD's search and ranking focus. 30-day notice period (within JD's preferred window), 85% recruiter response rate (highly responsive). however based in Hyderabad, Telangana, not in JD's preferred Pune/Noida hubs."
CAND_0092706,28,0.6361530393,"Qualified AI Research Engineer with 5.8 years and 3/7 core skill matches from Unacademy. Relevant experience in Fine-tuning LLMs maps to the JD's search and ranking focus. 78% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 120-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0043637,29,0.6351068393,"Junior ML Engineer (5.5 YOE) currently at Rephrase.ai. 1 core skills matched; shows practical experience in areas the JD prioritizes: embeddings, ranking, and production deployment. 92% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0043381,30,0.6340604839,"3.6-year AI Research Engineer from PharmEasy. Covers 0/7 core pillars; Systems Architecture expertise aligns with the JD's need for hands-on ML system builders. Based in Pune/Noida (JD's target location), 78% recruiter response rate (highly responsive). however 45-day notice period (above the JD's preferred 30-day window but manageable); 3.6 YOE is below the JD's 5-9 year target range."
CAND_0017093,31,0.6289468459,"ML Engineer (5.9 YOE) currently at Zoho. 3 core skills matched; shows practical experience in areas the JD prioritizes: embeddings, ranking, and production deployment. 30-day notice period (within JD's preferred window), strong GitHub activity (score: 84/100). however based in Hyderabad, Telangana, not in JD's preferred Pune/Noida hubs."
CAND_0066690,32,0.6087195788,"ML Engineer at Freshworks (4.8 YOE) with 1 core skill matches including pgvector. Profile shows the production-engineering orientation the JD describes. 30-day notice period (within JD's preferred window), 88% recruiter response rate (highly responsive). however based in Gurgaon, Haryana, not in JD's preferred Pune/Noida hubs."
CAND_0082086,33,0.6065016775,"Senior Software Engineer (ML) with 6.0 YOE at Razorpay, covering 0/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 85% recruiter response rate (highly responsive), strong GitHub activity (score: 83/100). however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0003841,34,0.6043545577,"ML Engineer (5.0 YOE) currently at Tech Mahindra. 2 core skills matched; shows practical experience in areas the JD prioritizes: embeddings, ranking, and production deployment. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location)."
CAND_0025882,35,0.6042471891,"Senior Software Engineer (ML) at Freshworks (5.6 YOE) with 1 core skill matches including Vector Search. Profile shows the production-engineering orientation the JD describes. 79% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Chennai, Tamil Nadu, not in JD's preferred Pune/Noida hubs."
CAND_0097176,36,0.6035079518,"5.9-year ML Engineer at TCS with expertise in Systems Architecture. Matches several JD requirements around production ML systems and scalable AI infrastructure. 30-day notice period (within JD's preferred window), 76% recruiter response rate (highly responsive). however based in Gurgaon, Haryana, not in JD's preferred Pune/Noida hubs."
CAND_0031842,37,0.6015123264,"AI Specialist with 3.5 YOE at Ola, covering 3/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 30-day notice period (within JD's preferred window), 82% recruiter response rate (highly responsive). however based in Hyderabad, Telangana, not in JD's preferred Pune/Noida hubs; no GitHub linked (JD values open-source contributions)."
CAND_0071131,38,0.5950391427,"Qualified AI Specialist with 4.1 years and 3/7 core skill matches from Genpact AI. Relevant experience in LLMs maps to the JD's search and ranking focus. 88% recruiter response rate (highly responsive). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0043693,39,0.5891695526,"6.7-year Data Engineer at PolicyBazaar with expertise in Vector Search. Matches several JD requirements around production ML systems and scalable AI infrastructure. Based in Pune/Noida (JD's target location), 78% recruiter response rate (highly responsive). however 120-day notice period is a significant hiring delay — JD prefers sub-30 days."
CAND_0054546,40,0.5864007852,"AI Research Engineer with 4.9 YOE, bringing 0 core competencies from Razorpay. Experience in Systems Architecture relevant to the JD's retrieval infrastructure requirements. Based in Pune/Noida (JD's target location), 92% recruiter response rate (highly responsive). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days."
CAND_0020463,41,0.5850838955,"5.1-year Data Engineer from Ola. Covers 1/7 core pillars; pgvector expertise aligns with the JD's need for hands-on ML system builders. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0052431,42,0.5831969073,"ML Engineer at Swiggy (5.3 YOE) with 0 core skill matches including Systems Architecture. Profile shows the production-engineering orientation the JD describes. 85% recruiter response rate (highly responsive), strong GitHub activity (score: 78/100). however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Ahmedabad, Gujarat, not in JD's preferred Pune/Noida hubs."
CAND_0037160,43,0.5780220183,"Data Scientist with 6.0 YOE at Haptik, covering 3/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 30-day notice period (within JD's preferred window), 74% recruiter response rate (highly responsive). however based in Mumbai, Maharashtra, not in JD's preferred Pune/Noida hubs."
CAND_0026716,44,0.5740717982,"Computer Vision Engineer with 5.6 YOE, bringing 3 core competencies from PharmEasy. Experience in Fine-tuning LLMs relevant to the JD's retrieval infrastructure requirements. 82% recruiter response rate (highly responsive), strong GitHub activity (score: 79/100). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Trivandrum, Kerala, not in JD's preferred Pune/Noida hubs."
CAND_0094685,45,0.5718247247,"AI Research Engineer at Krutrim (3.5 YOE) with 1 core skill matches including pgvector. Profile shows the production-engineering orientation the JD describes. Based in Pune/Noida (JD's target location), career history shows direct ranking/retrieval/search system experience. however 45-day notice period (above the JD's preferred 30-day window but manageable); 3.5 YOE is below the JD's 5-9 year target range."
CAND_0083852,46,0.5657987544,"Qualified Data Scientist with 6.0 years and 2/7 core skill matches from Mad Street Den. Relevant experience in pgvector maps to the JD's search and ranking focus. 85% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Ahmedabad, Gujarat, not in JD's preferred Pune/Noida hubs."
CAND_0093763,47,0.5641700867,"5.0-year Senior Software Engineer (ML) at Swiggy with expertise in pgvector. Matches several JD requirements around production ML systems and scalable AI infrastructure. Based in Pune/Noida (JD's target location), 92% recruiter response rate (highly responsive). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; no GitHub linked (JD values open-source contributions)."
CAND_0036121,48,0.5634728345,"ML Engineer with 5.2 YOE, bringing 3 core competencies from Wysa. Experience in Information Retrieval relevant to the JD's retrieval infrastructure requirements. Strong GitHub activity (score: 83/100). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Chennai, Tamil Nadu, not in JD's preferred Pune/Noida hubs."
CAND_0072489,49,0.5602690441,"Competent Computer Vision Engineer (4.4 YOE) at Dream11 with 2/7 core ML skills matched. Background in LLMs connects to the JD's ranking and evaluation focus. 30-day notice period (within JD's preferred window), strong GitHub activity (score: 77/100). however based in Bhubaneswar, Odisha, not in JD's preferred Pune/Noida hubs."
CAND_0015065,50,0.5595541373,"AI Research Engineer (3.9 YOE) currently at Flipkart. 3 core skills matched; shows practical experience in areas the JD prioritizes: embeddings, ranking, and production deployment. 84% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0030784,51,0.5585560335,"4.4-year Data Scientist from Yellow.ai with limited core skill coverage (2/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. 90% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0014909,52,0.5579743582,"4.8-year Computer Vision Engineer from Niramai. 1/7 core skills — some relevant background in pgvector but missing depth in retrieval systems and evaluation frameworks the JD requires. Based in Pune/Noida (JD's target location), 76% recruiter response rate (highly responsive). however 120-day notice period is a significant hiring delay — JD prefers sub-30 days."
CAND_0070525,53,0.5575457374,"Senior Software Engineer (ML) at Mad Street Den with 5.4 YOE. Below-threshold core skill match (2/7); included as a filler based on LLMs relevance. 93% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Hyderabad, Telangana, not in JD's preferred Pune/Noida hubs."
CAND_0064969,54,0.5574373015,"Senior Software Engineer (6.1 YOE) currently at Stark Industries. Covers 1 of 7 core pillars; ranking this low due to limited depth in the JD's primary focus areas. Based in Pune/Noida (JD's target location), 80% recruiter response rate (highly responsive). however 60-day notice period (above the JD's preferred 30-day window but manageable)."
CAND_0019880,55,0.5571060668,"AI Specialist at Aganitha with 5.7 YOE. Below-threshold core skill match (1/7); included as a filler based on Embeddings relevance. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0018293,56,0.5564604482,"5.6-year Data Scientist from PharmEasy. 2/7 core skills — some relevant background in Information Retrieval but missing depth in retrieval systems and evaluation frameworks the JD requires. 87% recruiter response rate (highly responsive), currently at PharmEasy (product company, aligns with JD's preference). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Indore, Madhya Pradesh, not in JD's preferred Pune/Noida hubs."
CAND_0077956,57,0.5563510226,"Computer Vision Engineer with 6.4 YOE at Niramai. Only 1/7 core ML pillars matched — below the depth the JD targets for the founding AI engineering team. 88% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 120-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Chandigarh, Chandigarh, not in JD's preferred Pune/Noida hubs."
CAND_0087744,58,0.5535990642,"Senior Software Engineer (ML) with 3.9 YOE at Niramai. Only 1/7 core ML pillars matched — below the depth the JD targets for the founding AI engineering team. 30-day notice period (within JD's preferred window), 88% recruiter response rate (highly responsive). however based in Indore, Madhya Pradesh, not in JD's preferred Pune/Noida hubs; 3.9 YOE is below the JD's 5-9 year target range."
CAND_0006263,59,0.5499411329,".NET Developer at Zomato, 6.3 YOE. 3/7 core matches — included as a borderline candidate; strongest signal is Fine-tuning LLMs but overall JD alignment is weaker. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0045027,60,0.5497015097,"Senior Software Engineer (ML) at Paytm, 3.0 YOE. 3/7 core matches — included as a borderline candidate; strongest signal is RAG but overall JD alignment is weaker. 80% recruiter response rate (highly responsive), currently at Paytm (product company, aligns with JD's preference). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Ahmedabad, Gujarat, not in JD's preferred Pune/Noida hubs."
CAND_0011383,61,0.5453024469,Mechanical Engineer with 6.6 years at Wayne Enterprises. Limited core skill overlap (5/7) and weaker alignment with the JD's emphasis on shipped retrieval and search infrastructure. Based in Pune/Noida (JD's target location). however 60-day notice period (above the JD's preferred 30-day window but manageable).
CAND_0092255,62,0.5401657724,"Lower-ranked ML Engineer (5.2 YOE, InMobi). 2/7 core pillars; profile is adjacent to JD requirements but lacks the production ranking system experience the role demands. Based in Pune/Noida (JD's target location), strong GitHub activity (score: 78/100). however 60-day notice period (above the JD's preferred 30-day window but manageable); only 38% recruiter response rate — low availability signal."
CAND_0015057,63,0.5391437376,"ML Engineer at Meesho, 4.6 YOE. 2/7 core matches — included as a borderline candidate; strongest signal is Vector Search but overall JD alignment is weaker. Based in Pune/Noida (JD's target location), 85% recruiter response rate (highly responsive). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; no GitHub linked (JD values open-source contributions)."
CAND_0043676,64,0.5385399554,"Senior Software Engineer (ML) (6.1 YOE) currently at Observe.AI. Covers 0 of 7 core pillars; ranking this low due to limited depth in the JD's primary focus areas. 30-day notice period (within JD's preferred window), strong GitHub activity (score: 85/100). however based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0090155,65,0.5372100689,"5.8-year ML Engineer from Swiggy with limited core skill coverage (0/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. Based in Pune/Noida (JD's target location), strong GitHub activity (score: 76/100). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days."
CAND_0052195,66,0.5357524683,"Lower-ranked Computer Vision Engineer (6.3 YOE, Sarvam AI). 1/7 core pillars; profile is adjacent to JD requirements but lacks the production ranking system experience the role demands. 30-day notice period (within JD's preferred window), career history shows direct ranking/retrieval/search system experience. however based in Kolkata, West Bengal, not in JD's preferred Pune/Noida hubs."
CAND_0084681,67,0.5331157717,"AI Specialist at Zomato, 3.5 YOE. 4/7 core matches — included as a borderline candidate; strongest signal is Information Retrieval but overall JD alignment is weaker. Career history shows direct ranking/retrieval/search system experience, currently at Zomato (product company, aligns with JD's preference). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Chennai, Tamil Nadu, not in JD's preferred Pune/Noida hubs."
CAND_0084283,68,0.5318576276,"3.6-year Junior ML Engineer from Sarvam AI with limited core skill coverage (2/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however low GitHub activity (score: 15/100); 3.6 YOE is below the JD's 5-9 year target range."
CAND_0086893,69,0.5286179175,"ML Engineer with 3.9 YOE at Unacademy. Only 2/7 core ML pillars matched — below the depth the JD targets for the founding AI engineering team. 90% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0091534,70,0.52739897,"16.6-year AI Engineer from Flipkart with limited core skill coverage (1/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. 30-day notice period (within JD's preferred window), 84% recruiter response rate (highly responsive). however based in Gurgaon, Haryana, not in JD's preferred Pune/Noida hubs; 16.6 YOE is above the JD's 5-9 year preferred band."
CAND_0064888,71,0.5230491765,"ML Engineer with 5.8 years at Verloop.io. Limited core skill overlap (4/7) and weaker alignment with the JD's emphasis on shipped retrieval and search infrastructure. 30-day notice period (within JD's preferred window), 92% recruiter response rate (highly responsive). however based in Vizag, Andhra Pradesh, not in JD's preferred Pune/Noida hubs; low GitHub activity (score: 17/100)."
CAND_0089947,72,0.5221546792,"5.4-year Junior ML Engineer from Saarthi.ai with limited core skill coverage (3/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. Based in Pune/Noida (JD's target location), currently at Saarthi.ai (product company, aligns with JD's preference). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days."
CAND_0072688,73,0.5220767291,"Data Scientist with 6.9 YOE at Niramai. Only 0/7 core ML pillars matched — below the depth the JD targets for the founding AI engineering team. Based in Pune/Noida (JD's target location), 87% recruiter response rate (highly responsive). however 45-day notice period (above the JD's preferred 30-day window but manageable); low GitHub activity (score: 11/100)."
CAND_0057736,74,0.5214319501,"Computer Vision Engineer with 6.2 years at Mad Street Den. Limited core skill overlap (2/7) and weaker alignment with the JD's emphasis on shipped retrieval and search infrastructure. 92% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Coimbatore, Tamil Nadu, not in JD's preferred Pune/Noida hubs."
CAND_0071941,75,0.5193406901,"Lower-ranked Software Engineer (5.2 YOE, Razorpay). 1/7 core pillars; profile is adjacent to JD requirements but lacks the production ranking system experience the role demands. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0073883,76,0.518565315,"AI Specialist with 5.3 YOE at Krutrim. Only 1/7 core ML pillars matched — below the depth the JD targets for the founding AI engineering team. 92% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Chandigarh, Chandigarh, not in JD's preferred Pune/Noida hubs."
CAND_0030780,77,0.5175154639,"AI Specialist at Verloop.io, 3.8 YOE. 2/7 core matches — included as a borderline candidate; strongest signal is RAG but overall JD alignment is weaker. Strong GitHub activity (score: 83/100), currently at Verloop.io (product company, aligns with JD's preference). however 45-day notice period (above the JD's preferred 30-day window but manageable); based in Kochi, Kerala, not in JD's preferred Pune/Noida hubs."
CAND_0049703,78,0.5166109366,"6.7-year Senior Data Engineer from Meesho with limited core skill coverage (0/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. 30-day notice period (within JD's preferred window), 77% recruiter response rate (highly responsive). however based in Chennai, Tamil Nadu, not in JD's preferred Pune/Noida hubs."
CAND_0007052,79,0.5163360704,"ML Engineer with 6.5 years at Unacademy. Limited core skill overlap (2/7) and weaker alignment with the JD's emphasis on shipped retrieval and search infrastructure. Based in Pune/Noida (JD's target location), 85% recruiter response rate (highly responsive). however 60-day notice period (above the JD's preferred 30-day window but manageable); no GitHub linked (JD values open-source contributions)."
CAND_0086154,80,0.5151968263,"6.8-year Data Scientist from Ola with limited core skill coverage (0/7). Partial overlap with JD requirements but gaps in key retrieval and ranking areas. 90% recruiter response rate (highly responsive), currently at Ola (product company, aligns with JD's preference). however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Ahmedabad, Gujarat, not in JD's preferred Pune/Noida hubs."
CAND_0091552,81,0.5144517749,"Software Engineer at Zomato with 7.8 YOE. Below-threshold core skill match (2/7); included as a filler based on Fine-tuning LLMs relevance. 72% recruiter response rate (highly responsive), currently at Zomato (product company, aligns with JD's preference). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0037331,82,0.5128666371,"Backend Engineer (6.7 YOE) currently at Accenture. Covers 2 of 7 core pillars; ranking this low due to limited depth in the JD's primary focus areas. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location)."
CAND_0009307,83,0.5126821944,"Data Engineer (3.3 YOE) currently at Zomato. Covers 3 of 7 core pillars; ranking this low due to limited depth in the JD's primary focus areas. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however 3.3 YOE is below the JD's 5-9 year target range."
CAND_0099347,84,0.5115981576,"Computer Vision Engineer at Swiggy, 3.5 YOE. 0/7 core matches — included as a borderline candidate; strongest signal is Systems Architecture but overall JD alignment is weaker. Based in Pune/Noida (JD's target location), 86% recruiter response rate (highly responsive). however 45-day notice period (above the JD's preferred 30-day window but manageable); 3.5 YOE is below the JD's 5-9 year target range."
CAND_0025923,85,0.5113952329,"Senior Software Engineer (ML) at HCL, 5.0 YOE. 2/7 core matches — included as a borderline candidate; strongest signal is pgvector but overall JD alignment is weaker. 30-day notice period (within JD's preferred window), 84% recruiter response rate (highly responsive). however based in Kolkata, West Bengal, not in JD's preferred Pune/Noida hubs; no GitHub linked (JD values open-source contributions)."
CAND_0004972,86,0.5100979189,"ML Engineer (6.0 YOE) currently at Glance. Covers 3 of 7 core pillars; ranking this low due to limited depth in the JD's primary focus areas. 74% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 90-day notice period is a significant hiring delay — JD prefers sub-30 days; based in Gurgaon, Haryana, not in JD's preferred Pune/Noida hubs."
